description,name,alarms,connected,dhcpClients,volume,source,channel,firmware,queue,digits,inUse,setTemperature,actualTemperature,setting,alarm_status,lastSeen,uptime,is_on,is_connected,paired_device,wifi_strength,paperJam,inkStock,battery,voiceQuality,bagelMode,isToasting,oodl,patch,qa_passed,is_streaming,media_type,paperStock,motionDetected,bytesReceived,bytesSent,macAddress,packetLossRate,packetsLost
Buffalo Home Gateway + Router,HomeGateway,[],NA,"[{u'interface': u'eth0', u'type': u'static', u'mac': u'E8:94:F6:08:5A:59', u'expires': 233460, u'ip_address': u'192.168.1.42'}, {u'interface': u'eth0', u'type': u'static', u'mac': u'E8:94:F6:0A:66:34', u'expires': 233460, u'ip_address': u'192.168.1.10'}, {u'interface': u'eth0', u'type': u'static', u'mac': u'94:9f:3e:09:cf:62', u'expires': 233460, u'ip_address': u'192.168.1.112'}, {u'interface': u'eth0', u'type': u'static', u'mac': u'30:05:5c:61:1d:c4', u'expires': 233460, u'ip_address': u'192.168.1.111'}, {u'interface': u'eth0', u'type': u'static', u'mac': u'77:20:A2:6E:9D:A6', u'expires': 233460, u'ip_address': u'192.168.1.132'}, {u'interface': u'eth0', u'type': u'static', u'mac': u'EE:4C:61:44:D7:37', u'expires': 233460, u'ip_address': u'192.168.1.181'}, {u'interface': u'wlan0', u'type': u'static', u'mac': u'83:1C:61:F8:B1:6F', u'expires': 233460, u'ip_address': u'192.168.1.120'}, {u'interface': u'wlan0', u'type': u'static', u'mac': u'EA:DC:80:70:45:1A', u'expires': 233460, u'ip_address': u'192.168.1.125'}, {u'interface': u'wlan0', u'type': u'static', u'mac': u'00-14-22-01-23-45', u'expires': 233460, u'ip_address': u'192.168.1.185'}, {u'interface': u'wlan0', u'type': u'static', u'mac': u'D9:ED:8A:D4:16:97', u'expires': 233460, u'ip_address': u'192.168.1.177'}, {u'interface': u'wlan0', u'type': u'static', u'mac': u'FA:74:C8:61:6C:69', u'expires': 233460, u'ip_address': u'192.168.0.56'}, {u'interface': u'wlan0', u'type': u'static', u'mac': u'F2:56:9B:69:61:4D', u'expires': 233460, u'ip_address': u'192.168.1.77'}, {u'interface': u'wlan0', u'type': u'static', u'mac': u'94:9f:3e:09:cd:f8', u'expires': 233460, u'ip_address': u'192.168.1.118'}, {u'interface': u'wlan0', u'type': u'static', u'mac': u'f4:f5:d8:b7:16:8c', u'expires': 233460, u'ip_address': u'192.168.1.117'}]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sun Mar  5 07:08:59 2017,66705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3910182525,1969098964,00:1D:2C:3B:4A:00,0.002,3938197
Windows 10 Professional intel core i7,Family-Desktop,[],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sun Mar  5 07:08:59 2017,66705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,547322569,547337548,E8:94:F6:08:5A:59,0.002,1094675
Windows 10 Professional intel core i5,Dads-Office-Desktop,[],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sun Mar  5 07:08:59 2017,66705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,547335714,547332139,E8:94:F6:0A:66:34,0.002,1094664
"Samsung 50"" LCD TV",Livingroom-TV,NA,NA,NA,,HDMI,,NA,NA,NA,NA,NA,NA,NA,NA,Sun Mar  5 07:08:59 2017,66705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1678,1627,94:9f:3e:09:cf:62,0.002,3
HP Photojet Printer,HP-Photojet-Printer,"[{u'timestamp': u'Sun Mar  5 07:08:59 2017', u'message': u'Paper Jam in tray A', u'id': 1112, u'severity': u'critical'}]",True,NA,NA,NA,NA,10045,"[{u'source': u'192.168.1.42', u'document': u'report%20on%20ethics.doc', u'id': 304}, {u'source': u'192.168.1.10', u'document': u'bbm_7273462388.png', u'id': 305}]",NA,NA,NA,NA,NA,NA,Sun Mar  5 07:08:59 2017,66705,NA,NA,NA,NA,True,"{u'cyan': True, u'magenta': False, u'black': True, u'yellow': True}",NA,NA,NA,NA,NA,NA,NA,NA,NA,True,NA,17322,8563,30:05:5c:61:1d:c4,0.002,17
,Heimdallr Surveilence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sun Mar  5 07:08:59 2017,66705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,True,89383,372314,77:20:A2:6E:9D:A6,0.002,744
XBOXONE,XBOX,NA,NA,NA,NA,NA,NA,3.67.1r34,NA,NA,NA,NA,NA,NA,NA,Sun Mar  5 07:08:59 2017,66705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,EE:4C:61:44:D7:37,0.002,0
,Sara's iPhone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sun Mar  5 07:08:59 2017,66705,NA,NA,NA,low,NA,NA,"{u'battery_percentage': 70, u'charging': False}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3370505,3232917,83:1C:61:F8:B1:6F,0.002,6465
Google Pixel- Android 7.7.1,Pixel,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sun Mar  5 07:08:59 2017,66705,NA,NA,NA,low,NA,NA,"{u'battery_percentage': 70, u'charging': False}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3314154,3323548,EA:DC:80:70:45:1A,0.002,6647
Voice Over IP Telephone,VOIPPHONE,NA,NA,NA,NA,NA,NA,NA,NA,10,False,NA,NA,NA,NA,Sun Mar  5 07:08:59 2017,66705,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,244792,267661,00-14-22-01-23-45,0.002,535
