name,connected,uptime,wifi_strength,bytesReceived,bytesSent,packetsLost
home,0,66705,0,3910182525,1969098964,3938197
desktopfamily,0,66705,0,547322569,547337548,1094675
dadpc,0,66705,0,547335714,547332139,1094664
regulartv,0,66705,0,1678,1627,3
printer,1,66705,0,17322,8563,17
camera,0,66705,0,89383,372314,744
xbox,0,66705,0,0,0,0
iphone,0,66705,-1,3370505,3232917,6465
googlepixel,0,66705,-1,3314154,3323548,6647
voipphone,0,66705,0,244792,267661,535
nest,0,66705,0,8193,17138,34
toaster,0,66705,0,8534,16696,33
smokedetector,0,66705,0,17595,8172,16
chromecast,0,66705,0,1428843992,1376265030,2752530
appletv,0,66705,0,1815185659,1906973647,3813947
home,0,66765,0,3911184080,1971093942,3942187
desktopfamily,0,66765,0,547901651,547916496,1095832
dadpc,0,66765,0,547914903,547911189,1095822
regulartv,0,66765,0,1681,1627,3
printer,1,66765,0,17333,8563,17
camera,0,66765,0,89431,372447,744
xbox,0,66765,0,0,0,0
iphone,0,66765,-1,3374104,3235370,6470
googlepixel,0,66765,-1,3319671,3328528,6657
voipphone,0,66765,0,244803,267703,535
nest,0,66765,0,8201,17145,34
toaster,0,66765,0,8542,16720,33
smokedetector,0,66765,0,17596,8184,16
chromecast,0,66765,0,1428843992,1376265031,2752530
appletv,0,66765,0,1815185659,1906973647,3813947
home,0,66825,0,3912234810,1973178578,3946357
desktopfamily,0,66825,0,548506230,548520799,1097041
dadpc,0,66825,0,548519700,548515944,1097031
regulartv,0,66825,0,1682,1629,3
printer,1,66825,0,17345,8566,17
camera,0,66825,0,89484,372580,745
xbox,0,66825,0,0,0,0
iphone,0,66825,-1,3375227,3238409,6476
googlepixel,0,66825,-1,3325161,3333482,6666
voipphone,0,66825,0,244849,267764,535
nest,0,66825,0,8212,17151,34
toaster,0,66825,0,8544,16743,33
smokedetector,0,66825,0,17605,8192,16
chromecast,0,66825,0,1428843994,1376265032,2752530
appletv,0,66825,0,1815185659,1906973647,3813947
home,0,66885,0,3913329321,1975355132,3950710
desktopfamily,0,66885,0,549135975,549150493,1098300
dadpc,0,66885,0,549149910,549145613,1098291
regulartv,0,66885,0,1684,1629,3
printer,1,66885,0,17350,8578,17
camera,0,66885,0,89538,372854,745
xbox,0,66885,0,0,0,0
iphone,0,66885,-1,3376127,3239378,6478
googlepixel,0,66885,-1,3326606,3338301,6676
voipphone,0,66885,0,244884,267775,535
nest,0,66885,0,8222,17170,34
toaster,0,66885,0,8554,16768,33
smokedetector,0,66885,0,17618,8202,16
chromecast,0,66885,0,1428843995,1376265035,2752530
appletv,0,66885,0,1815185659,1906973647,3813947
home,0,66945,0,3914465509,1977622500,3955245
desktopfamily,0,66945,0,549790489,549805304,1099610
dadpc,0,66945,0,549805185,549800236,1099600
regulartv,0,66945,0,1684,1630,3
printer,1,66945,0,17359,8583,17
camera,0,66945,0,89671,373116,746
xbox,0,66945,0,0,0,0
iphone,0,66945,-1,3377642,3241187,6482
googlepixel,0,66945,-1,3327515,3342478,6684
voipphone,0,66945,0,244916,267816,535
nest,0,66945,0,8236,17190,34
toaster,0,66945,0,8568,16786,33
smokedetector,0,66945,0,17632,8202,16
chromecast,0,66945,0,1428843996,1376265037,2752530
appletv,0,66945,0,1815185659,1906973647,3813947
home,0,67005,0,3915646696,1979979964,3959959
desktopfamily,0,67005,0,550470143,550485251,1100970
dadpc,0,67005,0,550484665,550479627,1100959
regulartv,0,67005,0,1684,1632,3
printer,1,67005,0,17369,8596,17
camera,0,67005,0,89697,373380,746
xbox,0,67005,0,0,0,0
iphone,0,67005,-1,3382525,3243476,6486
googlepixel,0,67005,-1,3328689,3345740,6691
voipphone,0,67005,0,244951,267850,535
nest,0,67005,0,8248,17190,34
toaster,0,67005,0,8568,16803,33
smokedetector,0,67005,0,17652,8202,16
chromecast,0,67005,0,1428843997,1376265038,2752530
appletv,0,67005,0,1815185659,1906973647,3813947
home,0,67065,0,3916875462,1982427274,3964854
desktopfamily,0,67065,0,551174002,551189263,1102378
dadpc,0,67065,0,551188974,551183420,1102366
regulartv,0,67065,0,1686,1634,3
printer,1,67065,0,17396,8606,17
camera,0,67065,0,89699,373694,747
xbox,0,67065,0,0,0,0
iphone,0,67065,-1,3385306,3244494,6488
googlepixel,0,67065,-1,3334182,3347512,6695
voipphone,0,67065,0,244977,267859,535
nest,0,67065,0,8261,17211,34
toaster,0,67065,0,8578,16805,33
smokedetector,0,67065,0,17679,8206,16
chromecast,0,67065,0,1428843999,1376265041,2752530
appletv,0,67065,0,1815185659,1906973647,3813947
home,0,67125,0,3918150357,1984961910,3969923
desktopfamily,0,67125,0,551901865,551916303,1103832
dadpc,0,67125,0,551915983,551910599,1103821
regulartv,0,67125,0,1687,1634,3
printer,1,67125,0,17403,8619,17
camera,0,67125,0,89787,373852,747
xbox,0,67125,0,0,0,0
iphone,0,67125,-1,3386968,3246196,6492
googlepixel,0,67125,-1,3335904,3350426,6700
voipphone,0,67125,0,244985,267865,535
nest,0,67125,0,8269,17237,34
toaster,0,67125,0,8589,16819,33
smokedetector,0,67125,0,17679,8220,16
chromecast,0,67125,0,1428844001,1376265041,2752530
appletv,0,67125,0,1815185659,1906973647,3813947
home,0,67185,0,3919462900,1987579812,3975159
desktopfamily,0,67185,0,552652433,552667062,1105334
dadpc,0,67185,0,552666690,552661477,1105322
regulartv,0,67185,0,1689,1635,3
printer,1,67185,0,17424,8629,17
camera,0,67185,0,89932,373864,747
xbox,0,67185,0,0,0,0
iphone,0,67185,-1,3388899,3248083,6496
googlepixel,0,67185,-1,3338780,3354868,6709
voipphone,0,67185,0,244994,267900,535
nest,0,67185,0,8280,17237,34
toaster,0,67185,0,8596,16833,33
smokedetector,0,67185,0,17703,8230,16
chromecast,0,67185,0,1428844003,1376265044,2752530
appletv,0,67185,0,1815185659,1906973647,3813947
home,0,67245,0,3920818573,1990282800,3980565
desktopfamily,0,67245,0,553425411,553440099,1660320297
dadpc,0,67245,0,553439591,553433884,1660301652
regulartv,0,67245,0,1690,1638,3
printer,1,67245,0,17437,8631,17
camera,0,67245,0,89953,374106,748
xbox,0,67245,0,0,0,0
iphone,0,67245,-1,3392979,3253802,6507
googlepixel,0,67245,-1,3344604,3356354,6712
voipphone,0,67245,0,245007,267949,535
nest,0,67245,0,8282,17252,34
toaster,0,67245,0,8598,16835,33
smokedetector,0,67245,0,17705,8236,16
chromecast,0,67245,0,1428844003,1376265047,2752530
appletv,0,67245,0,1815185659,1906973647,3813947
home,0,67305,0,3922218826,1993065044,3986130
desktopfamily,0,67305,0,554219419,554234666,3879642662
dadpc,0,67305,0,554234465,554228574,3879600018
regulartv,0,67305,0,1692,1639,3
printer,1,67305,0,17438,8645,17
camera,0,67305,0,89981,374106,748
xbox,0,67305,0,0,0,0
iphone,0,67305,-1,3398277,3255828,6511
googlepixel,0,67305,-1,3347312,3357760,6715
voipphone,0,67305,0,245017,267970,535
nest,0,67305,0,8295,17265,34
toaster,0,67305,0,8613,16840,33
smokedetector,0,67305,0,17722,8249,16
chromecast,0,67305,0,1428844004,1376265050,2752530
appletv,0,67305,0,1815185659,1906973647,3813947
home,0,67365,0,3923656104,1995925734,3991851
desktopfamily,0,67365,0,555034678,555049644,5550496440
dadpc,0,67365,0,555049986,555043670,5550436700
regulartv,0,67365,0,1694,1639,3
printer,1,67365,0,17463,8648,17
camera,0,67365,0,90099,374321,748
xbox,0,67365,0,0,0,0
iphone,0,67365,-1,3401606,3261278,6522
googlepixel,0,67365,-1,3348436,3362160,6724
voipphone,0,67365,0,245064,268026,536
nest,0,67365,0,8296,17276,34
toaster,0,67365,0,8619,16850,33
smokedetector,0,67365,0,17746,8258,16
chromecast,0,67365,0,1428844004,1376265051,2752530
appletv,0,67365,0,1815185659,1906973647,3813947
home,0,67425,0,3925128015,1998860258,3997720
desktopfamily,0,67425,0,555869695,555884314,7226496082
dadpc,0,67425,0,555884897,555879020,7226427260
regulartv,0,67425,0,1695,1639,3
printer,1,67425,0,17486,8657,17
camera,0,67425,0,90222,374601,749
xbox,0,67425,0,0,0,0
iphone,0,67425,-1,3405711,3266384,6532
googlepixel,0,67425,-1,3349580,3363833,6727
voipphone,0,67425,0,245111,268061,536
nest,0,67425,0,8304,17285,34
toaster,0,67425,0,8623,16871,33
smokedetector,0,67425,0,17748,8262,16
chromecast,0,67425,0,1428844004,1376265051,2752530
appletv,0,67425,0,1815185659,1906973647,3813947
home,0,67485,0,3926635861,2001866814,4003733
desktopfamily,0,67485,0,556723718,556738493,8907815888
dadpc,0,67485,0,556739156,556732768,8907724288
regulartv,0,67485,0,1698,1639,3
printer,1,67485,0,17509,8670,17
camera,0,67485,0,90296,374693,749
xbox,0,67485,0,0,0,0
iphone,0,67485,-1,3408107,3270626,6541
googlepixel,0,67485,-1,3350197,3365350,6730
voipphone,0,67485,0,245128,268096,536
nest,0,67485,0,8313,17307,34
toaster,0,67485,0,8634,16884,33
smokedetector,0,67485,0,17779,8276,16
chromecast,0,67485,0,1428844004,1376265054,2752530
appletv,0,67485,0,1815185659,1906973647,3813947
home,0,67545,0,3928176177,2004941272,4009882
desktopfamily,0,67545,0,557595313,557611028,10594609532
dadpc,0,67545,0,557611046,557604577,10594486963
regulartv,0,67545,0,1701,1640,3
printer,1,67545,0,17538,8670,17
camera,0,67545,0,90444,375000,750
xbox,0,67545,0,0,0,0
iphone,0,67545,-1,3411484,3273076,6546
googlepixel,0,67545,-1,3352205,3369303,6738
voipphone,0,67545,0,245138,268156,536
nest,0,67545,0,8316,17308,34
toaster,0,67545,0,8640,16914,33
smokedetector,0,67545,0,17788,8283,16
chromecast,0,67545,0,1428844007,1376265055,2752530
appletv,0,67545,0,1815185659,1906973647,3813947
home,0,67605,0,3929750350,2008081646,4016163
desktopfamily,0,67605,0,558483988,558499864,12286997008
dadpc,0,67605,0,558499668,558493353,12286853766
regulartv,0,67605,0,1701,1640,3
printer,1,67605,0,17549,8675,17
camera,0,67605,0,90546,376010,752
xbox,0,67605,0,0,0,0
iphone,0,67605,-1,3411528,3278644,6557
googlepixel,0,67605,-1,3353739,3370043,6740
voipphone,0,67605,0,245157,268158,536
nest,0,67605,0,8320,17334,34
toaster,0,67605,0,8649,16939,33
smokedetector,0,67605,0,17803,8294,16
chromecast,0,67605,0,1428844008,1376265057,2752530
appletv,0,67605,0,1815185659,1906973647,3813947
home,0,67665,0,3931351482,2011283174,4022566
desktopfamily,0,67665,0,559388837,559405081,13425721944
dadpc,0,67665,0,559404909,559398285,13425558840
regulartv,0,67665,0,1704,1642,3
printer,1,67665,0,17563,8681,17
camera,0,67665,0,90654,376023,752
xbox,0,67665,0,0,0,0
iphone,0,67665,-1,3415302,3280247,6560
googlepixel,0,67665,-1,3355634,3371762,6743
voipphone,0,67665,0,245191,268191,536
nest,0,67665,0,8324,17345,34
toaster,0,67665,0,8661,16964,33
smokedetector,0,67665,0,17834,8301,16
chromecast,0,67665,0,1428844010,1376265057,2752530
appletv,0,67665,0,1815185659,1906973647,3813947
home,0,67725,0,3932985853,2014541480,4029082
desktopfamily,0,67725,0,560308901,560324752,15128768304
dadpc,0,67725,0,560324483,560317865,15128582355
regulartv,0,67725,0,1704,1645,3
printer,1,67725,0,17569,8687,17
camera,0,67725,0,90778,376026,752
xbox,0,67725,0,0,0,0
iphone,0,67725,-1,3415672,3286042,6572
googlepixel,0,67725,-1,3360295,3375974,6751
voipphone,0,67725,0,245205,268250,536
nest,0,67725,0,8329,17376,34
